2PE 1:8.19 . ἐπίγνωσιν· ἐπίγνωσιν· N-ASF 1922 ἐπίγνωσις ! ἐπίγνωσις
2PE 1:9.1 . ᾧ ᾧ R-DSM 3739 ὅς ! ὅς
2PE 1:9.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:9.3 . μὴ μὴ PRT-N 3361 μή ! μή
2PE 1:9.4 . πάρεστιν πάρεστιν V-PAI-3S 3918 πάρειμι ! πάρειμι
2PE 1:9.5 . ταῦτα, ταῦτα, D-APN 3778 οὗτος ! οὗτος
2PE 1:9.6 . τυφλός τυφλός A-NSM 5185 τυφλός ! τυφλός
2PE 1:9.7 . ἐστιν ἐστιν V-PAI-3S 1510 εἰμί ! εἰμί
2PE 1:9.8 . μυωπάζων, μυωπάζων, V-PAP-NSM 3467 μυωπάζω ! μυωπάζω
2PE 1:9.9 . λήθην λήθην N-ASF 3024 λήθη ! λήθη
2PE 1:9.10 . λαβὼν λαβὼν V-2AAP-NSM 2983 λαμβάνω ! λαμβάνω
2PE 1:9.11 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:9.12 . καθαρισμοῦ καθαρισμοῦ N-GSM 2512 καθαρισμός ! καθαρισμός
2PE 1:9.13 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
2PE 1:9.14 . πάλαι πάλαι ADV 3819 πάλαι ! πάλαι
2PE 1:9.15 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2PE 1:9.16 . ἁμαρτημάτων. ἁμαρτημάτων. N-GPN 265 ἁμάρτημα ! ἁμάρτημα
2PE 1:10.1 . διὸ διὸ CONJ 1352 διό ! διό
2PE 1:10.2 . μᾶλλον, μᾶλλον, ADV 3123 μᾶλλον ! μᾶλλον
2PE 1:10.3 . ἀδελφοί, ἀδελφοί, N-VPM 80 ἀδελφός ! ἀδελφός
2PE 1:10.4 . σπουδάσατε σπουδάσατε V-AAM-2P 4704 σπουδάζω ! σπουδάζω
2PE 1:10.5 . βεβαίαν βεβαίαν A-ASF 949 βέβαιος ! βέβαιος
2PE 1:10.6 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2PE 1:10.7 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:10.8 . κλῆσιν κλῆσιν N-ASF 2821 κλῆσις ! κλῆσις
2PE 1:10.9 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:10.10 . ἐκλογὴν ἐκλογὴν N-ASF 1589 ἐκλογή ! ἐκλογή
2PE 1:10.11 . ποιεῖσθαι· ποιεῖσθαι· V-PMN 4160 ποιέω ! ποιέω
2PE 1:10.12 . ταῦτα ταῦτα D-APN 3778 οὗτος ! οὗτος
2PE 1:10.13 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:10.14 . ποιοῦντες ποιοῦντες V-PAP-NPM 4160 ποιέω ! ποιέω
2PE 1:10.15 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2PE 1:10.16 . μὴ μὴ PRT-N 3361 μή ! μή
2PE 1:10.17 . πταίσητέ πταίσητέ V-AAS-2P 4417 πταίω ! πταίω
2PE 1:10.18 . ποτε· ποτε· PRT 4218 ποτέ ! ποτέ
2PE 1:11.1 . οὕτως οὕτως ADV 3779 οὕτω ! οὕτω
2PE 1:11.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:11.3 . πλουσίως πλουσίως ADV 4146 πλουσίως ! πλουσίως
2PE 1:11.4 . ἐπιχορηγηθήσεται ἐπιχορηγηθήσεται V-FPI-3S 2023 ἐπιχορηγέω ! ἐπιχορηγέω
2PE 1:11.5 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2PE 1:11.6 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2PE 1:11.7 . εἴσοδος εἴσοδος N-NSF 1529 εἴσοδος ! εἴσοδος
2PE 1:11.8 . εἰς εἰς PREP 1519 εἰς ! εἰς
2PE 1:11.9 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:11.10 . αἰώνιον αἰώνιον A-ASF 166 αἰώνιος ! αἰώνιος
2PE 1:11.11 . βασιλείαν βασιλείαν N-ASF 932 βασιλεία ! βασιλεία
2PE 1:11.12 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:11.13 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:11.14 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2PE 1:11.15 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:11.16 . σωτῆρος σωτῆρος N-GSM 4990 σωτήρ ! σωτήρ
2PE 1:11.17 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:11.18 . Χριστοῦ. Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2PE 1:12.1 P Διὸ Διὸ CONJ 1352 διό ! διό
2PE 1:12.2 . μελλήσω μελλήσω V-FAI-1S 3195 μέλλω ! μέλλω
2PE 1:12.3 . ἀεὶ ἀεὶ ADV 104 ἀεί ! ἀεί
2PE 1:12.4 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2PE 1:12.5 . ὑπομιμνῄσκειν ὑπομιμνῄσκειν V-PAN 5279 ὑπομιμνήσκω ! ὑπομιμνῄσκω
2PE 1:12.6 . περὶ περὶ PREP 4012 περί ! περί
2PE 1:12.7 . τούτων, τούτων, D-GPN 3778 οὗτος ! οὗτος
2PE 1:12.8 . καίπερ καίπερ CONJ 2539 καίπερ ! καίπερ
2PE 1:12.9 . εἰδότας εἰδότας V-RAP-APM 1492 εἴδω ! οἶδα
2PE 1:12.10 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:12.11 . ἐστηριγμένους ἐστηριγμένους V-RPP-APM 4741 στηρίζω ! στηρίζω
2PE 1:12.12 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:12.13 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:12.14 . παρούσῃ παρούσῃ V-PAP-DSF 3918 πάρειμι ! πάρειμι
2PE 1:12.15 . ἀληθείᾳ. ἀληθείᾳ. N-DSF 225 ἀλήθεια ! ἀλήθεια
2PE 1:13.1 . δίκαιον δίκαιον A-ASN 1342 δίκαιος ! δίκαιος
2PE 1:13.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:13.3 . ἡγοῦμαι, ἡγοῦμαι, V-PNI-1S 2233 ἡγέομαι ! ἡγέομαι
2PE 1:13.4 . ἐφ’ ἐφ’ PREP 1909 ἐπί ! ἐπί
2PE 1:13.5 . ὅσον ὅσον K-ASM 3745 ὅσος ! ὅσος
2PE 1:13.6 . εἰμὶ εἰμὶ V-PAI-1S 1510 εἰμί ! εἰμί
2PE 1:13.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:13.8 . τούτῳ τούτῳ D-DSN 3778 οὗτος ! οὗτος
2PE 1:13.9 . τῷ τῷ T-DSN 3588 ὁ ! ὁ
2PE 1:13.10 . σκηνώματι, σκηνώματι, N-DSN 4638 σκήνωμα ! σκήνωμα
2PE 1:13.11 . διεγείρειν διεγείρειν V-PAN 1326 διεγείρω ! διεγείρω
2PE 1:13.12 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2PE 1:13.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:13.14 . ὑπομνήσει, ὑπομνήσει, N-DSF 5280 ὑπόμνησις ! ὑπόμνησις
2PE 1:14.1 . εἰδὼς εἰδὼς V-RAP-NSM 1492 εἴδω ! οἶδα
2PE 1:14.2 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
2PE 1:14.3 . ταχινή ταχινή A-NSF 5031 ταχινός ! ταχινός
2PE 1:14.4 . ἐστιν ἐστιν V-PAI-3S 1510 εἰμί ! εἰμί
2PE 1:14.5 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
2PE 1:14.6 . ἀπόθεσις ἀπόθεσις N-NSF 595 ἀπόθεσις ! ἀπόθεσις
2PE 1:14.7 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
2PE 1:14.8 . σκηνώματός σκηνώματός N-GSN 4638 σκήνωμα ! σκήνωμα
2PE 1:14.9 . μου, μου, P-1GS 1473 ἐγώ ! ἐγώ
2PE 1:14.10 . καθὼς καθὼς ADV 2531 καθώς ! καθώς
2PE 1:14.11 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:14.12 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
2PE 1:14.13 . κύριος κύριος N-NSM 2962 κύριος ! κύριος
2PE 1:14.14 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2PE 1:14.15 . Ἰησοῦς Ἰησοῦς N-NSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:14.16 . Χριστὸς Χριστὸς N-NSM 5547 Χριστός ! Χριστός
2PE 1:14.17 . ἐδήλωσέν ἐδήλωσέν V-AAI-3S 1213 δηλόω ! δηλόω
2PE 1:14.18 . μοι· μοι· P-1DS 1473 ἐγώ ! ἐγώ
2PE 1:15.1 . σπουδάσω σπουδάσω V-FAI-1S 4704 σπουδάζω ! σπουδάζω
2PE 1:15.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:15.3 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:15.4 . ἑκάστοτε ἑκάστοτε ADV 1539 ἑκάστοτε ! ἑκάστοτε
2PE 1:15.5 . ἔχειν ἔχειν V-PAN 2192 ἔχω ! ἔχω
2PE 1:15.6 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2PE 1:15.7 . μετὰ μετὰ PREP 3326 μετά ! μετά
2PE 1:15.8 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:15.9 . ἐμὴν ἐμὴν S-1SASF 1699 ἐμός ! ἐμός
2PE 1:15.10 . ἔξοδον ἔξοδον N-ASF 1841 ἔξοδος ! ἔξοδος
2PE 1:15.11 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:15.12 . τούτων τούτων D-GPN 3778 οὗτος ! οὗτος
2PE 1:15.13 . μνήμην μνήμην N-ASF 3420 μνήμη ! μνήμη
2PE 1:15.14 . ποιεῖσθαι. ποιεῖσθαι. V-PMN 4160 ποιέω ! ποιέω
2PE 1:16.1 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
2PE 1:16.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:16.3 . σεσοφισμένοις σεσοφισμένοις V-RPP-DPM 4679 σοφίζω ! σοφίζω
2PE 1:16.4 . μύθοις μύθοις N-DPM 3454 μῦθος ! μῦθος
2PE 1:16.5 . ἐξακολουθήσαντες ἐξακολουθήσαντες V-AAP-NPM 1811 ἐξακολουθέω ! ἐξακολουθέω
2PE 1:16.6 . ἐγνωρίσαμεν ἐγνωρίσαμεν V-AAI-1P 1107 γνωρίζω ! γνωρίζω
2PE 1:16.7 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
