2TH 1:6.8 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2TH 1:6.9 . θλῖψιν θλῖψιν N-ASF 2347 θλῖψις ! θλῖψις
2TH 1:7.1 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:7.2 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2TH 1:7.3 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:7.4 . θλιβομένοις θλιβομένοις V-PPP-DPM 2346 θλίβω ! θλίβω
2TH 1:7.5 . ἄνεσιν ἄνεσιν N-ASF 425 ἄνεσις ! ἄνεσις
2TH 1:7.6 . μεθ’ μεθ’ PREP 3326 μετά ! μετά
2TH 1:7.7 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 1:7.8 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:7.9 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2TH 1:7.10 . ἀποκαλύψει ἀποκαλύψει N-DSF 602 ἀποκάλυψις ! ἀποκάλυψις
2TH 1:7.11 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:7.12 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:7.13 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:7.14 . ἀπ’ ἀπ’ PREP 575 ἀπό ! ἀπό
2TH 1:7.15 . οὐρανοῦ οὐρανοῦ N-GSM 3772 οὐρανός ! οὐρανός
2TH 1:7.16 . μετ’ μετ’ PREP 3326 μετά ! μετά
2TH 1:7.17 . ἀγγέλων ἀγγέλων N-GPM 32 ἄγγελος ! ἄγγελος
2TH 1:7.18 . δυνάμεως δυνάμεως N-GSF 1411 δύναμις ! δύναμις
2TH 1:7.19 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2TH 1:8.1 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:8.2 . πυρὶ πυρὶ N-DSN 4442 πῦρ ! πῦρ
2TH 1:8.3 . φλογός, φλογός, N-GSF 5395 φλόξ ! φλόξ
2TH 1:8.4 . διδόντος διδόντος V-PAP-GSM 1325 δίδωμι ! δίδωμι
2TH 1:8.5 . ἐκδίκησιν ἐκδίκησιν N-ASF 1557 ἐκδίκησις ! ἐκδίκησις
2TH 1:8.6 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:8.7 . μὴ μὴ PRT-N 3361 μή ! μή
2TH 1:8.8 . εἰδόσιν εἰδόσιν V-RAP-DPM 1492 εἴδω ! οἶδα
2TH 1:8.9 . θεὸν θεὸν N-ASM 2316 θεός ! θεός
2TH 1:8.10 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:8.11 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:8.12 . μὴ μὴ PRT-N 3361 μή ! μή
2TH 1:8.13 . ὑπακούουσιν ὑπακούουσιν V-PAP-DPM 5219 ὑπακούω ! ὑπακούω
2TH 1:8.14 . τῷ τῷ T-DSN 3588 ὁ ! ὁ
2TH 1:8.15 . εὐαγγελίῳ εὐαγγελίῳ N-DSN 2098 εὐαγγέλιον ! εὐαγγέλιον
2TH 1:8.16 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:8.17 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:8.18 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2TH 1:8.19 . Ἰησοῦ, Ἰησοῦ, N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:9.1 . οἵτινες οἵτινες R-NPM 3748 ὅστις ! ὅστις
2TH 1:9.2 . δίκην δίκην N-ASF 1349 δίκη ! δίκη
2TH 1:9.3 . τίσουσιν τίσουσιν V-FAI-3P 5099 τίνω ! τίνω
2TH 1:9.4 . ὄλεθρον ὄλεθρον N-ASM 3639 ὄλεθρος ! ὄλεθρος
2TH 1:9.5 . αἰώνιον αἰώνιον A-ASM 166 αἰώνιος ! αἰώνιος
2TH 1:9.6 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
2TH 1:9.7 . προσώπου προσώπου N-GSN 4383 πρόσωπον ! πρόσωπον
2TH 1:9.8 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:9.9 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:9.10 . καὶ καὶ CONJ 2532 καί ! καί
