MT 1:7.10 . Ἀβιά, Ἀβιά, N-PRI 7 Ἀβιά ! Ἀβιά
MT 1:7.11 . Ἀβιὰ Ἀβιὰ N-PRI 7 Ἀβιά ! Ἀβιά
MT 1:7.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:7.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:7.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:7.15 . Ἀσάφ, Ἀσάφ, N-PRI 760 Ἀσά ! Ἀσάφ
MT 1:8.1 . Ἀσὰφ Ἀσὰφ N-PRI 760 Ἀσά ! Ἀσάφ
MT 1:8.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:8.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:8.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:8.5 . Ἰωσαφάτ, Ἰωσαφάτ, N-PRI 2498 Ἰωσαφάτ ! Ἰωσαφάτ
MT 1:8.6 . Ἰωσαφὰτ Ἰωσαφὰτ N-PRI 2498 Ἰωσαφάτ ! Ἰωσαφάτ
MT 1:8.7 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:8.8 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:8.9 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:8.10 . Ἰωράμ, Ἰωράμ, N-PRI 2496 Ἰωράμ ! Ἰωράμ
MT 1:8.11 . Ἰωρὰμ Ἰωρὰμ N-PRI 2496 Ἰωράμ ! Ἰωράμ
MT 1:8.12 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:8.13 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:8.14 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:8.15 . Ὀζείαν, Ὀζείαν, N-ASM 3604 Ὀζίας ! Ὀζίας
MT 1:9.1 . Ὀζείας Ὀζείας N-NSM 3604 Ὀζίας ! Ὀζίας
MT 1:9.2 . δὲ δὲ CONJ 1161 δέ ! δέ
MT 1:9.3 . ἐγέννησεν ἐγέννησεν V-AAI-3S 1080 γεννάω ! γεννάω
MT 1:9.4 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MT 1:9.5 . Ἰωαθάμ, Ἰωαθάμ, N-PRI 2488 Ἰωάθαμ ! Ἰωαθάμ
