1PE 1:10.9 . περὶ περὶ PREP 4012 περί ! περί
1PE 1:10.10 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:10.11 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:10.12 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:10.13 . χάριτος χάριτος N-GSF 5485 χάρις ! χάρις
1PE 1:10.14 . προφητεύσαντες, προφητεύσαντες, V-AAP-NPM 4395 προφητεύω ! προφητεύω
1PE 1:11.1 . ἐραυνῶντες ἐραυνῶντες V-PAP-NPM 2045 ἐρευνάω ! ἐραυνάω
1PE 1:11.2 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:11.3 . τίνα τίνα I-ASM 5101 τίς ! τίς
1PE 1:11.4 . ἢ ἢ PRT 2228 ἤ ! ἤ
1PE 1:11.5 . ποῖον ποῖον I-ASM 4169 ποῖος ! ποῖος
1PE 1:11.6 . καιρὸν καιρὸν N-ASM 2540 καιρός ! καιρός
1PE 1:11.7 . ἐδήλου ἐδήλου V-IAI-3S 1213 δηλόω ! δηλόω
1PE 1:11.8 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
1PE 1:11.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:11.10 . αὐτοῖς αὐτοῖς P-DPM 846 αὐτός ! αὐτός
1PE 1:11.11 . πνεῦμα πνεῦμα N-NSN 4151 πνεῦμα ! πνεῦμα
1PE 1:11.12 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1PE 1:11.13 . προμαρτυρόμενον προμαρτυρόμενον V-PNP-NSN 4303 προμαρτύρομαι ! προμαρτύρομαι
1PE 1:11.14 . τὰ τὰ T-APN 3588 ὁ ! ὁ
1PE 1:11.15 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:11.16 . Χριστὸν Χριστὸν N-ASM 5547 Χριστός ! Χριστός
1PE 1:11.17 . παθήματα παθήματα N-APN 3804 πάθημα ! πάθημα
1PE 1:11.18 . καὶ καὶ CONJ 2532 καί ! καί
1PE 1:11.19 . τὰς τὰς T-APF 3588 ὁ ! ὁ
1PE 1:11.20 . μετὰ μετὰ PREP 3326 μετά ! μετά
1PE 1:11.21 . ταῦτα ταῦτα D-APN 3778 οὗτος ! οὗτος
1PE 1:11.22 . δόξας· δόξας· N-APF 1391 δόξα ! δόξα
1PE 1:12.1 . οἷς οἷς R-DPM 3739 ὅς ! ὅς
1PE 1:12.2 . ἀπεκαλύφθη ἀπεκαλύφθη V-API-3S 601 ἀποκαλύπτω ! ἀποκαλύπτω
1PE 1:12.3 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
1PE 1:12.4 . οὐχ οὐχ PRT-N 3756 οὐ ! οὐ
1PE 1:12.5 . ἑαυτοῖς ἑαυτοῖς F-3DPM 1438 ἑαυτοῦ ! ἑαυτοῦ
1PE 1:12.6 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1PE 1:12.7 . δὲ δὲ CONJ 1161 δέ ! δέ
1PE 1:12.8 . διηκόνουν διηκόνουν V-IAI-3P 1247 διακονέω ! διακονέω
1PE 1:12.9 . αὐτά, αὐτά, P-APN 846 αὐτός ! αὐτός
1PE 1:12.10 . ἃ ἃ R-APN 3739 ὅς ! ὅς
1PE 1:12.11 . νῦν νῦν ADV 3568 νῦν ! νῦν
1PE 1:12.12 . ἀνηγγέλη ἀνηγγέλη V-2API-3S 312 ἀναγγέλλω ! ἀναγγέλλω
1PE 1:12.13 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1PE 1:12.14 . διὰ διὰ PREP 1223 διά ! διά
1PE 1:12.15 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
1PE 1:12.16 . εὐαγγελισαμένων εὐαγγελισαμένων V-AMP-GPM 2097 εὐαγγελίζω ! εὐαγγελίζω
1PE 1:12.17 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:12.18 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:12.19 . πνεύματι πνεύματι N-DSN 4151 πνεῦμα ! πνεῦμα
1PE 1:12.20 . ἁγίῳ ἁγίῳ A-DSN 40 ἅγιος ! ἅγιος
1PE 1:12.21 . ἀποσταλέντι ἀποσταλέντι V-2APP-DSN 649 ἀποστέλλω ! ἀποστέλλω
1PE 1:12.22 . ἀπ’ ἀπ’ PREP 575 ἀπό ! ἀπό
1PE 1:12.23 . οὐρανοῦ, οὐρανοῦ, N-GSM 3772 οὐρανός ! οὐρανός
1PE 1:12.24 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:12.25 . ἃ ἃ R-APN 3739 ὅς ! ὅς
1PE 1:12.26 . ἐπιθυμοῦσιν ἐπιθυμοῦσιν V-PAI-3P 1937 ἐπιθυμέω ! ἐπιθυμέω
1PE 1:12.27 . ἄγγελοι ἄγγελοι N-NPM 32 ἄγγελος ! ἄγγελος
1PE 1:12.28 . παρακύψαι. παρακύψαι. V-AAN 3879 παρακύπτω ! παρακύπτω
1PE 1:13.1 P Διὸ Διὸ CONJ 1352 διό ! διό
1PE 1:13.2 . ἀναζωσάμενοι ἀναζωσάμενοι V-AMP-NPM 328 ἀναζώννυμι ! ἀναζώννυμι
