MR 1:7.4 . ἔρχεται ἔρχεται V-PNI-3S 2064 ἔρχομαι ! ἔρχομαι
MR 1:7.5 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
MR 1:7.6 . ἰσχυρότερός ἰσχυρότερός A-NSM-C 2478 ἰσχυρός ! ἰσχυρός
MR 1:7.7 . μου μου P-1GS 1473 ἐγώ ! ἐγώ
MR 1:7.8 . ὀπίσω ὀπίσω ADV 3694 ὀπίσω ! ὀπίσω
MR 1:7.9 . μου, μου, P-1GS 1473 ἐγώ ! ἐγώ
MR 1:7.10 . οὗ οὗ R-GSM 3739 ὅς ! ὅς
MR 1:7.11 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
MR 1:7.12 . εἰμὶ εἰμὶ V-PAI-1S 1510 εἰμί ! εἰμί
MR 1:7.13 . ἱκανὸς ἱκανὸς A-NSM 2425 ἱκανός ! ἱκανός
MR 1:7.14 . κύψας κύψας V-AAP-NSM 2955 κύπτω ! κύπτω
MR 1:7.15 . λῦσαι λῦσαι V-AAN 3089 λύω ! λύω
MR 1:7.16 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MR 1:7.17 . ἱμάντα ἱμάντα N-ASM 2438 ἱμάς ! ἱμάς
MR 1:7.18 . τῶν τῶν T-GPN 3588 ὁ ! ὁ
MR 1:7.19 . ὑποδημάτων ὑποδημάτων N-GPN 5266 ὑπόδημα ! ὑπόδημα
MR 1:7.20 . αὐτοῦ· αὐτοῦ· P-GSM 846 αὐτός ! αὐτός
MR 1:8.1 . ἐγὼ ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
MR 1:8.2 . ἐβάπτισα ἐβάπτισα V-AAI-1S 907 βαπτίζω ! βαπτίζω
MR 1:8.3 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
MR 1:8.4 . ὕδατι, ὕδατι, N-DSN 5204 ὕδωρ ! ὕδωρ
MR 1:8.5 . αὐτὸς αὐτὸς P-NSM 846 αὐτός ! αὐτός
MR 1:8.6 . δὲ δὲ CONJ 1161 δέ ! δέ
MR 1:8.7 . βαπτίσει βαπτίσει V-FAI-3S 907 βαπτίζω ! βαπτίζω
MR 1:8.8 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
MR 1:8.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
MR 1:8.10 . πνεύματι πνεύματι N-DSN 4151 πνεῦμα ! πνεῦμα
MR 1:8.11 . ἁγίῳ. ἁγίῳ. A-DSN 40 ἅγιος ! ἅγιος
MR 1:9.1 . Καὶ Καὶ CONJ 2532 καί ! καί
MR 1:9.2 . ἐγένετο ἐγένετο V-2ADI-3S 1096 γίνομαι ! γίνομαι
MR 1:9.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
MR 1:9.4 . ἐκείναις ἐκείναις D-DPF 1565 ἐκεῖνος ! ἐκεῖνος
MR 1:9.5 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
MR 1:9.6 . ἡμέραις ἡμέραις N-DPF 2250 ἡμέρα ! ἡμέρα
MR 1:9.7 . ἦλθεν ἦλθεν V-2AAI-3S 2064 ἔρχομαι ! ἔρχομαι
MR 1:9.8 . Ἰησοῦς Ἰησοῦς N-NSM 2424 Ἰησοῦς ! Ἰησοῦς
MR 1:9.9 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
MR 1:9.10 . Ναζαρὲτ Ναζαρὲτ N-PRI 3478 Ναζαρέθ ! Ναζαρά
MR 1:9.11 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
MR 1:9.12 . Γαλιλαίας Γαλιλαίας N-GSF 1056 Γαλιλαία ! Γαλιλαία
MR 1:9.13 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:9.14 . ἐβαπτίσθη ἐβαπτίσθη V-API-3S 907 βαπτίζω ! βαπτίζω
MR 1:9.15 . εἰς εἰς PREP 1519 εἰς ! εἰς
MR 1:9.16 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
MR 1:9.17 . Ἰορδάνην Ἰορδάνην N-ASM 2446 Ἰορδάνης ! Ἰορδάνης
MR 1:9.18 . ὑπὸ ὑπὸ PREP 5259 ὑπό ! ὑπό
MR 1:9.19 . Ἰωάννου. Ἰωάννου. N-GSM 2491 Ἰωάννης ! Ἰωάννης
MR 1:10.1 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:10.2 . εὐθὺς εὐθὺς ADV 2112 εὐθέως ! εὐθέως
MR 1:10.3 . ἀναβαίνων ἀναβαίνων V-PAP-NSM 305 ἀναβαίνω ! ἀναβαίνω
MR 1:10.4 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
MR 1:10.5 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
MR 1:10.6 . ὕδατος ὕδατος N-GSN 5204 ὕδωρ ! ὕδωρ
MR 1:10.7 . εἶδεν εἶδεν V-2AAI-3S 3708 ὁράω ! ὁράω
MR 1:10.8 . σχιζομένους σχιζομένους V-PPP-APM 4977 σχίζω ! σχίζω
MR 1:10.9 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
MR 1:10.10 . οὐρανοὺς οὐρανοὺς N-APM 3772 οὐρανός ! οὐρανός
MR 1:10.11 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:10.12 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
MR 1:10.13 . πνεῦμα πνεῦμα N-ASN 4151 πνεῦμα ! πνεῦμα
MR 1:10.14 . ὡς ὡς ADV 5613 ὡς ! ὡς
MR 1:10.15 . περιστερὰν περιστερὰν N-ASF 4058 περιστερά ! περιστερά
MR 1:10.16 . καταβαῖνον καταβαῖνον V-PAP-ASN 2597 καταβαίνω ! καταβαίνω
MR 1:10.17 . εἰς εἰς PREP 1519 εἰς ! εἰς
MR 1:10.18 . αὐτόν. αὐτόν. P-ASM 846 αὐτός ! αὐτός
MR 1:11.1 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:11.2 . φωνὴ φωνὴ N-NSF 5456 φωνή ! φωνή
MR 1:11.3 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
MR 1:11.4 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
MR 1:11.5 . οὐρανῶν· οὐρανῶν· N-GPM 3772 οὐρανός ! οὐρανός
MR 1:11.6 . σὺ σὺ P-2NS 4771 σύ ! σύ
MR 1:11.7 . εἶ εἶ V-PAI-2S 1510 εἰμί ! εἰμί
MR 1:11.8 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
MR 1:11.9 . υἱός υἱός N-NSM 5207 υἱός ! υἱός
MR 1:11.10 . μου μου P-1GS 1473 ἐγώ ! ἐγώ
MR 1:11.11 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
MR 1:11.12 . ἀγαπητός, ἀγαπητός, A-NSM 27 ἀγαπητός ! ἀγαπητός
MR 1:11.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
MR 1:11.14 . σοὶ σοὶ P-2DS 4771 σύ ! σύ
MR 1:11.15 . εὐδόκησα. εὐδόκησα. V-AAI-1S 2106 εὐδοκέω ! εὐδοκέω
MR 1:12.1 P Καὶ Καὶ CONJ 2532 καί ! καί
MR 1:12.2 . εὐθὺς εὐθὺς ADV 2112 εὐθέως ! εὐθέως
MR 1:12.3 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
MR 1:12.4 . πνεῦμα πνεῦμα N-NSN 4151 πνεῦμα ! πνεῦμα
MR 1:12.5 . αὐτὸν αὐτὸν P-ASM 846 αὐτός ! αὐτός
MR 1:12.6 . ἐκβάλλει ἐκβάλλει V-PAI-3S 1544 ἐκβάλλω ! ἐκβάλλω
MR 1:12.7 . εἰς εἰς PREP 1519 εἰς ! εἰς
MR 1:12.8 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
MR 1:12.9 . ἔρημον. ἔρημον. A-ASF 2048 ἔρημος ! ἔρημος
MR 1:13.1 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:13.2 . ἦν ἦν V-IAI-3S 1510 εἰμί ! εἰμί
MR 1:13.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
MR 1:13.4 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
